Platform,Creator Name,Subscribers,Video Title,Views,Likes,Upload Date
YouTube,PointCrow,2800000,I Created Pokemon&#39;s Largest Nuzlocke Tournament,226162,4678,2026-08-03
YouTube,PointCrow,2800000,Don’t miss this!,108037,7945,2026-07-23
YouTube,PointCrow,2800000,Attempting to Catch the Rarest Creatures in ANIIMO,19668,354,2026-07-14
YouTube,PointCrow,2800000,Beat the Challenge... in ANY Game,508419,25167,2026-07-11
YouTube,PointCrow,2800000,Can I Defeat the World&#39;s Best Pokemon Nuzlocker?,26260,488,2026-07-07
YouTube,PointCrow,2800000,Defeating @pChalTV in the Pokemon Nuzlocke Invitational,24535,379,2026-07-02
YouTube,PointCrow,2800000,Completing the new Pokemon Nuzlocke Invitational Game,33892,586,2026-07-01
YouTube,PointCrow,2800000,Attempting to Beat the new Nuzlocke Invitational,36219,868,2026-06-30
YouTube,PointCrow,2800000,The End of Kingdom Hearts Dream Drop Distance,37368,918,2026-06-27
YouTube,PointCrow,2800000,Uncovering the Secrets of Kingdom Hearts Dream Drop Distance,26755,616,2026-06-26
YouTube,KastusDiea,5,Garchomp vs Blizzard - Pokemon Gemeinde League,4,1,2026-09-11
YouTube,KastusDiea,5,A Bad Review - Short animated Film,116,10,2025-09-30
YouTube,KastusDiea,5,Reshiram bekommt eins aufs Maul - BuLi Woche 5 gegen FloVGC,15,1,2025-04-18
YouTube,KastusDiea,5,Reshiram auf die 1!!!! | VGC Bundesliga Season 8 | KastusDiea vs. MaxxUpgrade,46,6,2025-03-18
YouTube,KastusDiea,5,Gemeinde BuLi Woche 6   KastusDiea vs Jay,6,1,2024-10-14
YouTube,KastusDiea,5,Pokemon VGC Bundesliga - Woche 2 Kastusdiea vs. Clonraver,9,1,2024-09-23
YouTube,Markiplier,38900000,2002 WAYS TO DIE | House 2,3298469,90030,2026-09-12
YouTube,Markiplier,38900000,MOLDRISE,2896787,63860,2026-09-08
YouTube,Markiplier,38900000,YES DOPPELGANGERS HERE | Shift at Midnight w/ Bob and Wade,4030787,92641,2026-09-06
YouTube,Markiplier,38900000,3 SCARY GAMES #114,2422655,66083,2026-09-05
